CLINIC NAME,ADDRESS,MOBILE NO,WEBSITE,RESPONSIVE
LAXMIPRIYA HOMEO CLINIC,"TINIMUHANI,KENDRAPADA",9937193372,NO,
BABA ORTHA CARE,"BALAGANDI BAZAR,KENDRAPDA",9938385561,NO,
SRL DIAGNOSTICS,"HAJARI BAGICHA RD,KENDRAPADA",9438618919,NO,
GOVIND PVT LTD,"SUKHUAPADA,KENDRAPADA",9178854897,NO,
RAJKANIKA MEDICAL,GOKARNESWAR,9937530300,YES,CHINDI
VISON PLUS OPTICAL & EYE CLINIC,"GUALSINGH,KENDRAPADA",9337058469,NO,
CARE & CURE,BILAMGUBUDI,6370767451,NO,
HARIHARA ELECTRO HOMEO CLINIC,"PURSOTTAM,KENDRAPADA",9178079934,NO,
MANIBABA AYURVEDIC CLINIC,"BALIA ,KENDRAPADA",9668882227,YES,CHINDI
APPLO CLINIC JAJPUR TOWN,"KIANALI,CHAK",9668648666,YES,APOLLO
AROGYA DOCTORS CLINIC,"KILAPOLA,KIANIKUKLA",7809204324,NO,
DR.DEBASHEES NANDA ENT CLINIC,NEAR DISTRICT HEADQUTAR HOSPITAL,9861141261,YES,NORMAL
SUPER SPECALITY CLINIC,"TARAMANDA SCHOOL ROAD,JAJPUR",9437954324,NO,
"DR PRAVAS PANDA,MD(LENUS HEALTH CARE)",RAJPUR,8280031342,YES,CHINDI
DR MADHUSUDAN PANDA CLINIC,JAJPUR,7809735590,YES,CHINDI
BONE FACTURE CLINIC,"MEDICAL RD,JAJPUR",9861014676,NO,
PERMACURE HOMEOPATHY CLINIC,"BELMAPUR,JAJPUR",9337115773,YES,CHINDI
LIFE CURE ULTRASOUND CLINC,"MEDICAL RD,JAJPUR",9437140751,YES,NORMAL
MAA BIRAJA DENTAL CLINIC,"MANASPOLA,JAJPUR",9090390085,YES,CHINDI
MANISHREE MULTISPECALITY CLINIUC,BYASANAGAR,9337501277,YES,NORMAL
DENTAL CARE,NEAR DISTRICT HEADQUTAR HOSPITAL,7008473127,NO,
DR.ASHOK PRYADARSHINI PEDIATRIC CLINIC,"KANHEIPUR,BYASA NAGAR",8280509552,YES,CHINDI
DR.PARIDAS DENTAL CLINIC,BYASANAGAR,7978020522,YES,CHINDI
PHYSIOTHERAPY CLINIC,RED CROSS CHHAK,6370187840,NO,
SARASWAT DENTAL CARE,KUSUMA RD,7008001665,YES,CHINDI
PRASABTI CLINIC,BYASANAGAR,9692882302,YES,CHINDI
DENTAL CLINIC,JAJPUR,9437128250,NO,
MODERN DENTAL CLINIC,BYASANAGAR,6726220688,YES,CHINDI
DR DEBASIS JENA ENT CLINIC,BYASANAGAR,9937778244,NO,
BHOMMIKA EYE HOSPITAL,BYASANAGAR,6742596967,YES,NORMAL
SUMITRA DENTAL CARE,"CHHAK,JAJPUR",9040660021,NO,
DO BATRAS HOMEOPATHY AND HAIR CLINIC,BYASANAGAR,7045000666,YES,NORMAL
DR GOUTAM KUMAR SAHOO,BYASANAGAR,7853989705,YES,CHINDI
SRI JAGANATH DENTAL CARE,BYASANAGAR,9827606900,YES,NORMAL
NEW SUBHRA DRY CLINIC,JAJPUR,9986616854,NO,
MAA TARINI DENTAL & MULTI CARE,GOPALI CHAKA,7000208057,YES,NORMAL
DR B K NAYAK ,BYASANAGAR,9437336880,YES,CHINDI
THE PERFECT SMILE DEENTAL CLINC,BALABIGHAT RD,7978435631,NO,
SMRUTI AYURVEDIC CLINIC,N.C COLLEGE,9348274254,YES,GOOD
SATYABHAMA HEALTH CARE,"NEHRU STADIUM,BHADRAK",7008610481,YES,CHINDI
LIFE LINE MEDICAL CLINIC,PRACHINAGAR,9337040257,NO,
NEW DAY MEDICARE,SALANDI COLONY,9827166169,NO,
dr SIBASHISA OJHA,"CANAL RD,ARADI CHOWK",9439750677,YES,CHINDI
RUDRA HEALTH CARE,"ASTAL CHOWK,BHADRAK",9438634698,YES,CHINDI
DR BK SAHU DENTAL,"HDFC BANK,BHADRAK",9238687226,YES,CHINDI
DR AGARWAL EYE CLINIC,"CHHAPULIA,BHADRAK",9594904977,YES,NORMAL
JEEBVAN JYOTY HOMEO CLINIC,"SAMARAIPUR,BHADRAK",9437087289,YES,CHINDI
TARINI CLINIC,"NARIPUR,BHADRAK",7008930262,YES,CHINDI
GLOW DERM SKIN,MAIN RD,7008183853,NO,
PILES AND SEXUAL CLINIC,"NARIPUR,BHADRAK",8658788878,YES,CHINDI
DR PATRA SPEECH AND SI THERAPY,KANTI BIHAR,9439200735,YES,CHINDI
SHREE GANESH POLYCLINIC,"ASTAL CHOWK,BHADRAK",9439443044,YES,CHINDI
OSCAS HAIR TRANPLANT CLINIC,SATSANGA VIHAR,9938632680,NO,
DR ARUN KU SAHOO HOMEO CLINIC,NAYABAZAR,9437147784,NO,
IGNITE SPEECH AND HEARING CLINIC,"SAMARAIPUR,BHADRAK",9337055243,YES,CHINDI
MAA KALI SEWA SADANA,BHADRAK,9938148937,NO,
NILACHAKRA POLY CLINIC,"NARIPUR,BHADRAK",9668249982,NO,
MOTHER TERSA HEALTH CARE,"NAYABAZAR,BHADRAK",9853061746,NO,
SAMPURNA POLYCLINIC & PATHOLAB,"SAMARAIPUR,BHADRAK",7846898375,NO,
"NAYAK CLINIC,NAYABAZAR",NAYABAZAR,9437215773,NO,
SHREE MAA X-RAY CLINIC,BHADRAK,9777774767,YES,CHINDI
"NEUROPSYCHAITRY,DEADIDICTION & SEXOLOGY CLINIC","KUANSA ,BHADRAK",8328962539,NO,
SMILE DENTAL CARE,BHADRAK,8280916282,YES,NORMAL
ADYASHAKTI CLINIC,"BONTH,CHOWK",9778474764,YES,CHINDI
KGN DENTALK CLINIC,BHADRAK,9778555166,YES,CHINDI
